"","vis_len","proportion"
"1","vis_1h",8887
"2","vis_2h",8887
"3","vis_3h",8887
"4","vis_4h",8887
"5","vis_5h",8887
"6","vis_6h",8887
"7","vis_7h",8887
"8","vis_8h",8887
"9","vis_9h",8887
"10","vis_10h",8887
"11","vis_11h",8887
"12","vis_12h",8887
"13","vis_13h",8887
"14","vis_14h",8887
"15","vis_15h",8887
"16","vis_16h",8887
"17","vis_17h",8887
"18","vis_18h",8887
"19","vis_19h",8887
"20","vis_20h",8887
"21","vis_21h",8887
"22","vis_22h",8887
"23","vis_23h",8887
"24","vis_24h",8887
"25","vis_25h",8887
"26","vis_26h",8878
"27","vis_27h",8834
"28","vis_28h",8776
"29","vis_29h",8731
"30","vis_30h",8665
"31","vis_31h",8608
"32","vis_32h",8534
"33","vis_33h",8464
"34","vis_34h",8380
"35","vis_35h",8321
"36","vis_36h",8261
"37","vis_37h",8203
"38","vis_38h",8143
"39","vis_39h",8073
"40","vis_40h",8018
"41","vis_41h",7961
"42","vis_42h",7887
"43","vis_43h",7826
"44","vis_44h",7760
"45","vis_45h",7691
"46","vis_46h",7623
"47","vis_47h",7544
"48","vis_48h",7455
